用户ID, 用户昵称, 用户头像地址, 评论时间, 点赞总数, 评论内容
123778344, HotDude, http://p1.music.126.net/K-s9VpN_MTuDQghzN98xUA==/18495984604501273.jpg, 1508295045036, 3, , 带着大家理解这份作品：如果要比较这首歌, 或者说你们能不能听懂这首歌, ，首先1., 你要对摇滚乐有概念, 2.要知道金属乐的概念, 3.要知道核类音乐的概念（核类音乐特点是脏, 不论词还是音色）。以上风格的作品, 如果你有所涉猎, 至少才能懂他玩的是什么, 哪里做的好....所以, 听不懂, 就去提高自己水平, 不要乱喷, 
42477459, 狼崖雪, http://p1.music.126.net/WdBtunbGxUpl8CeDTJWBxg==/3227066628303962.jpg, 1508294918265, 0, 噗，我回复错了，我回复那个玩音频设备上万的。讲道理，音频设备真正要玩的话，上万才起步都不算吧。一个架子箱子就多少钱了。
123778344, HotDude, http://p1.music.126.net/K-s9VpN_MTuDQghzN98xUA==/18495984604501273.jpg, 1508294851491, 0, 我好好听歌。, 啥逼事儿都能喷, , 比碟的, , 比花钱的, , 没有几个听音乐的, [大哭][大哭][大哭], , 别私, 私我也不会回, 
318683079, 大李子大, http://p1.music.126.net/huSQ01nB62vpkHLnT8HdkQ==/18910500486203301.jpg, 1508294536150, 0, 跟潸何吊关系不大，有点迷走
108592980, 黑色梦中_永恒沉睡, http://p1.music.126.net/a4k6Al2kd84WWQ_pa-BBOw==/3413983620190097.jpg, 1508294408545, 0, 入魔道
63267767, Skubrick, http://p1.music.126.net/ydgaAXoY-T6PNvD-MvxEAg==/19115009649260338.jpg, 1508294206894, 2, 最好闭上你的嘴emmmmmmmm噢对这样才算可爱
260446816, 据说帐号己注销, http://p1.music.126.net/cDZQEuf07EGGBigvd9VrTQ==/1421668541994134.jpg, 1508293153273, 0, 这个。。。听不来。。。[大哭][大哭][大哭]
44910048, 夏揖山, http://p1.music.126.net/qqmaLFgMrHOrQNRJP1j8XQ==/1371091005857202.jpg, 1508292803375, 1, 太喜欢了
103489844, vousmeliz, http://p1.music.126.net/ak3mg5YwPM6A8GrdfwIX8w==/109951163027718802.jpg, 1508291902595, 0, 不管你们怎么说, 反正我很喜欢
369557294, podq, http://p1.music.126.net/g3HUU90BOgoEsv2yucZk7A==/109951163019775550.jpg, 1508291531470, 3, 真他妈难听
